id,name,latitude,longitude,type,category,address,rating,openingHours,description
LOC15,Lagja 4 Dëshmorët,40.94704,19.7066,RESIDENTIAL,Lagje,Rruga Miqësia,3.2,24/7,"Lagje rezidenciale në veri të qendrës me pallate moderne."
LOC16,Fabrika e Tullave,40.95173,19.70005,INTERSECTION,Industrial,Rruga e Kavajës,2.5,08:00-17:00,"Zonë industriale në veri të qytetit."
LOC17,Gjendja Civile,40.94367,19.70346,GOVERNMENT,Institucione,Rruga Liria,3.7,08:00-16:00,"Zyra e Gjendjes Civile dhe shërbimeve administrative."
LOC18,Luna Park,40.93964,19.70635,PARK,Parke,Rruga Jugut,3.8,10:00-22:00,"Zona e argëtimit me karuzele dhe aktivitete për fëmijë."
LOC19,Farmacia Aldent,40.94150,19.70580,LANDMARK,Farmaci,Rruga Qendrore,4.4,08:00-20:00,"Farmaci qendrore me gamë të gjerë barnash dhe produktesh shëndetësore."
LOC20,Farmacia Plus,40.93800,19.71000,LANDMARK,Farmaci,Rruga Spitalit,4.2,08:00-21:00,"Farmaci pranë spitalit, gjithmonë e pajisur mirë."
LOC21,Restorant Tradita,40.94200,19.70800,LANDMARK,Restorante,Rruga Ismail Qemali,4.6,11:00-23:00,"Restorant tipik shqiptar me gjellë tradicionale dhe ambiente të ngrohtë."
LOC22,Restorant Lushnja,40.94400,19.70500,LANDMARK,Restorante,Bulevardi Skënderbeu,4.3,10:00-24:00,"Restorant popullor me kuzhinë mesdhetare dhe shqiptare."
LOC23,Kafeja Metropol,40.94250,19.70650,LANDMARK,Kafene,Sheshi Toka Jonë,4.5,07:00-23:00,"Kafeja më e frekuentuar në shesh me ambient modern."
LOC24,Kafeja Blloku,40.94100,19.70400,LANDMARK,Kafene,Rruga Luigj Gurakuqi,4.1,07:00-22:00,"Kafeje e rehatshme me internet dhe shërbim të mirë."
LOC25,Banka Raiffeisen,40.94320,19.70600,LANDMARK,Banka,Bulevardi Skënderbeu,4.2,09:00-15:00,"Degë bankare me ATM 24/7 dhe shërbime financiare."
LOC26,Banka BKT,40.94050,19.70700,LANDMARK,Banka,Rruga Parku,4.0,09:00-15:00,"Banka Kombëtare Tregtare, degë Lushnje me ATM."
LOC27,Komisariati Policia,40.94180,19.70350,GOVERNMENT,Policia,Rruga Liria,3.8,24/7,"Komisariati i Policisë së Shtetit Lushnje."
LOC28,Parkimi Sheshi,40.94230,19.70560,INTERSECTION,Parkime,Afër Sheshit Toka Jonë,3.5,07:00-22:00,"Parkim publik pranë sheshit qendror."
LOC29,Parkimi Spitali,40.93450,19.71050,INTERSECTION,Parkime,Rruga Spitalit,3.2,24/7,"Parkim falas pranë spitalit rajonal."
LOC30,Pika Taksie Sheshi,40.94260,19.70620,TRANSPORT_HUB,Pika Taksie,Sheshi Toka Jonë,4.0,06:00-24:00,"Pika kryesore e taksive pranë sheshit qendror."
LOC31,Pika Taksie Stacioni,40.93950,19.69950,TRANSPORT_HUB,Pika Taksie,Pranë Stacionit,3.8,05:00-23:00,"Pika e taksive pranë terminalit të autobuseve."
LOC32,Hotel Skënderbeu,40.94500,19.70400,LANDMARK,Hotele,Rruga Kongresi Lushnjes,4.0,24/7,"Hotel i ri me dhoma komode dhe restorant të brendshëm."
LOC33,Muzeu i Kongresit,40.94100,19.70600,LANDMARK,Vende Turistike,Rruga Kongresi Lushnjes,4.7,09:00-17:00,"Muzeu historik i Kongresit të Lushnjes 1920, trashëgimi kombëtare."
LOC34,Parku Çlirimi,40.93600,19.70500,PARK,Parke,Rruga Çlirimit,4.2,06:00-22:00,"Park i gjerë me lulishte dhe shëtitore të gjatë."
LOC35,Farmacia Shëndetësia,40.94450,19.70750,LANDMARK,Farmaci,Rruga Xhamise,4.0,08:00-20:00,"Farmaci pranë xhamisë me shërbim të shpejtë."
